City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather
231,Kiama,AU,2021-09-29 03:05:55,-34.6833,150.8667,67.37,82,100,8.01,moderate rain
232,Kenai,US,2021-09-29 03:05:55,60.5544,-151.2583,46.49,50,1,4.61,clear sky
233,Pemagatsel,BT,2021-09-29 03:05:55,27.0319,91.4266,71.19,67,97,2.1,overcast clouds
234,Moerai,PF,2021-09-29 03:05:56,-22.4333,-151.3333,75.29,80,2,7.63,clear sky
235,Gairo,IT,2021-09-29 03:05:56,39.8497,9.5047,61.18,56,55,5.44,broken clouds
236,Kushiro,JP,2021-09-29 03:05:56,42.975,144.3747,62.15,69,99,8.63,overcast clouds
237,Tabou,CI,2021-09-29 02:57:35,4.423,-7.3528,76.06,90,83,4.18,light rain
238,Manado,ID,2021-09-29 03:01:03,1.487,124.8455,92.17,55,20,4.61,few clouds
239,Beyneu,KZ,2021-09-29 03:05:57,45.3167,55.2,46.94,59,27,10.13,scattered clouds
240,Esmeraldas,BR,2021-09-29 03:05:57,-19.7625,-44.3139,74.26,66,11,6.46,few clouds
241,Caravelas,BR,2021-09-29 03:03:46,-17.7125,-39.2481,70.18,88,0,5.48,clear sky
242,Katsuura,JP,2021-09-29 03:05:58,35.1333,140.3,77.02,73,63,13.02,broken clouds
243,Corinto,GR,2021-09-29 03:05:58,37.9407,22.9573,72.9,69,12,4.99,few clouds
244,Laguna,US,2021-09-29 02:56:13,38.421,-121.4238,72.39,24,1,1.99,clear sky
245,Mwene-Ditu,CD,2021-09-29 03:05:59,-7.0,23.45,66.34,82,96,0.85,overcast clouds
246,Podgornoye,RU,2021-09-29 03:05:59,51.735,39.1496,35.82,93,0,4.47,clear sky
247,Roebourne,AU,2021-09-29 03:05:59,-20.7833,117.1333,85.73,20,0,8.1,clear sky
248,Chardara,KZ,2021-09-29 03:06:00,41.2547,67.9692,64.63,38,100,10.02,overcast clouds
249,Songkhla,TH,2021-09-29 03:06:00,6.8333,100.6667,84.25,75,100,1.99,overcast clouds
250,Manta,EC,2021-09-29 03:06:01,-0.95,-80.7333,71.2,83,96,8.7,overcast clouds
251,West Plains,US,2021-09-29 03:06:01,36.7281,-91.8524,74.23,76,1,4.0,clear sky
252,Norman Wells,CA,2021-09-29 02:56:29,65.282,-126.8329,30.24,86,75,9.22,broken clouds
253,Raga,SS,2021-09-29 02:57:43,8.4596,25.678,68.95,97,100,4.61,overcast clouds
254,Okha,RU,2021-09-29 03:06:02,53.5739,142.9478,61.65,71,100,13.82,overcast clouds
255,Waipawa,NZ,2021-09-29 03:06:02,-41.4122,175.5153,59.45,53,6,8.12,clear sky
256,Clyde River,CA,2021-09-29 03:06:02,70.4692,-68.5914,32.23,67,100,7.85,overcast clouds
257,Meulaboh,ID,2021-09-29 03:05:21,4.1363,96.1285,81.21,75,100,3.53,overcast clouds
258,Narsaq,GL,2021-09-29 02:56:14,60.9167,-46.05,29.61,42,0,7.34,clear sky
259,Dodoma,TZ,2021-09-29 03:06:03,-6.1722,35.7395,64.04,74,84,8.77,broken clouds
260,Altay,CN,2021-09-29 03:06:04,47.8667,88.1167,54.75,42,59,2.89,broken clouds
