City_ID,City,Country,Max Temp,Weather,Lat,Lng,Hotel Name
518,Navirai,BR,79.16,scattered clouds,-23.065,-54.1906,Dubai Hotel - Também sua casa!
519,Safaga,EG,79.7,clear sky,26.7292,33.9365,Lamar Resort Abu Soma
520,Kirakira,SB,83.14,broken clouds,-10.4544,161.9205,SanBiz Lodge
524,Dumas,US,76.42,clear sky,35.8656,-101.9732,"Holiday Inn Express & Suites Dumas, an IHG Hotel"
537,Sampit,ID,88.18,broken clouds,-2.5333,112.95,Aquarius Boutique Hotel Sampit
545,Hurghada,EG,77.07,clear sky,27.2574,33.8129,Sea Star Beau Rivage Hotel
547,Acapulco,MX,79.7,overcast clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
548,Warrensburg,US,75.09,clear sky,38.7628,-93.7361,Comfort Inn Warrensburg Station
549,Bantva,IN,76.82,light rain,21.4864,70.0689,Rana Bai daga Bai
554,Dongli,CN,88.52,clear sky,23.5656,116.8194,Chenghai Shizhang Donghuaqiao Hostel
556,Cartagena,CO,82.02,few clouds,10.3997,-75.5144,Hotel Colombia Real - Cartagena
557,Pokaran,IN,86.81,clear sky,26.9167,71.9167,Motel Pokaran - RTDC
558,Zinder,NE,83.48,broken clouds,13.8072,8.9881,Hotel de Ville
560,Bacalar,MX,76.77,few clouds,18.6667,-88.3833,Hotel Laguna Bacalar
570,Misratah,LY,76.19,clear sky,32.3754,15.0925,فندق الماسة
575,Grand Island,US,75.15,clear sky,40.925,-98.342,Fairfield Inn & Suites by Marriott Grand Island
577,Buala,SB,80.74,moderate rain,-8.145,159.5921,Maringe Lagoon Lodge
578,Lodwar,KE,80.22,scattered clouds,3.1191,35.5973,Solmar Gracious Hotel
585,Wajima,JP,75.49,overcast clouds,37.4,136.9,Wajiima Onsen Yashio
588,Humberto De Campos,BR,76.98,few clouds,-2.5983,-43.4611,Pousada do Cabeça
595,Alyangula,AU,84.06,broken clouds,-13.8483,136.4192,Groote Eylandt Lodge
596,Andrews,US,75.65,clear sky,32.3187,-102.5457,Days Inn by Wyndham Andrews Texas
599,Santa Rosalia,MX,78.53,clear sky,27.3167,-112.2833,Hotel Las Casitas Santa Rosalia
603,Banda Aceh,ID,82.18,overcast clouds,5.5577,95.3222,Sulthan Hotel International
606,Haapiti,PF,81.72,light rain,-17.5667,-149.8667,Linareva Moorea Beach Resort
610,Kendari,ID,85.93,few clouds,-3.945,122.4989,Hotel Wixel
611,Bilasipara,IN,81.52,overcast clouds,26.232,90.2347,Inspection Bunglow
612,Dicabisagan,PH,87.75,overcast clouds,17.0818,122.4157,Nancy Montanes Bernardo
617,Le Vauclin,MQ,77.05,clear sky,14.5452,-60.8388,Hôtel Cap Macabou
621,Bull Savanna,JM,78.08,clear sky,17.8868,-77.5902,Big Red's
622,Segou,ML,78.22,clear sky,13.4317,-6.2157,Comme chez soi
625,Robertsport,LR,77.2,moderate rain,6.7533,-11.3686,Kwepunha Retreat
626,Pio Xii,BR,75.34,clear sky,-3.8325,-45.1525,BACURI DOS QUARESMAS
630,Camocim,BR,78.91,clear sky,-2.9022,-40.8411,Hotel Ilha do Amor
634,Maua,BR,75.36,scattered clouds,-23.6678,-46.4614,Hotel Capriccio Mauá
635,Pandan,PH,86.58,broken clouds,14.0453,124.1694,Bonifacio Lodge
646,Esmeralda,CU,76.24,moderate rain,21.8525,-78.1169,Centro de Pioneros Exploradores
647,Hirara,JP,83.82,clear sky,24.8,125.2833,Hotel Atoll Emerald Miyakojima
654,Puerto Colombia,CO,77.09,overcast clouds,10.9878,-74.9547,Hotel El Emigrante
655,Malindi,KE,76.01,scattered clouds,-3.2175,40.1191,African House Resort
657,Puerto Cabezas,NI,78.42,broken clouds,14.0351,-83.3888,Cabaña Caribe
659,Chaman,PK,78.1,clear sky,30.9236,66.4512,Niamat parda Center chaman
660,Aquiraz,BR,84.22,clear sky,-3.9014,-38.3911,Pousada Rua Camurupim
665,Bam,IR,81.09,clear sky,29.106,58.357,Bam Tourist Hotel
669,Bandarbeyla,SO,80.17,overcast clouds,9.4942,50.8122,JABIR HOTEL
670,Naze,JP,80.31,scattered clouds,28.3667,129.4833,オーベルジュ・アガルイ
672,Ratnagiri,IN,80.19,overcast clouds,16.9833,73.3,Hotel Landmark
674,Chatra,IN,78.78,broken clouds,24.2167,84.8667,GOPI BHOJNALAY
677,Nova Olinda Do Norte,BR,75.83,overcast clouds,-3.8881,-59.0942,Jardim Paiva Hotel
679,Porto Novo,BJ,76.73,overcast clouds,6.4965,2.6036,Tour Eiffel Hotel Benin
680,Takoradi,GH,75.51,few clouds,4.8845,-1.7554,Raybow International Hotel
681,Manokwari,ID,84.18,overcast clouds,-0.8667,134.0833,Swiss Belhotel Manokwari
683,Tanabe,JP,81.12,clear sky,33.7333,135.3667,美吉屋旅館
684,Balabac,PH,86.18,overcast clouds,7.9868,117.0645,Sing and Swing Lodge
687,Alexandria,EG,76.82,clear sky,31.2156,29.9553,Royal Crown Hotel
688,Harper,LR,76.59,light rain,4.375,-7.7169,Screensaver
689,Pitimbu,BR,75.33,broken clouds,-7.4706,-34.8086,Reserva do Abiaí
704,Salalah,OM,78.89,clear sky,17.0151,54.0924,HAMDAN PLAZA HOTEL SALALAH
707,Miri,MY,86.02,broken clouds,4.4148,114.0089,"Mega Hotel, Miri"
711,Mersing,MY,86.27,overcast clouds,2.4312,103.8405,Timotel Hotel
